iter	F1	Logloss
0	0.9780213459	0.4243972328
1	0.9783832414	0.2931490604
2	0.97840595	0.2312446085
3	0.9784716847	0.1995172839
4	0.9785743064	0.1824030962
5	0.9786321999	0.1736672726
6	0.9787054365	0.1672559311
7	0.9787399608	0.1637225472
8	0.9788049046	0.159750856
9	0.9788775823	0.1576670796
10	0.9789562476	0.1566602132
11	0.9790089795	0.1555240071
12	0.9790768566	0.1550698306
13	0.9791402324	0.1543863839
14	0.9791409507	0.1539164222
15	0.9792183906	0.1535024872
16	0.9792346004	0.153288469
17	0.9792650387	0.1530703817
18	0.9793048495	0.1526527705
19	0.9793140392	0.1523880295
20	0.979325031	0.1522180132
21	0.9793952955	0.1518538469
22	0.9794043045	0.1516341039
23	0.9794439461	0.1514275083
24	0.979461966	0.1512668929
25	0.979498194	0.1511138824
26	0.9795182049	0.1508189041
27	0.9795362282	0.1506821418
28	0.9795937195	0.150421133
29	0.9796135479	0.1501533612
30	0.9796335656	0.1499962537
31	0.9796660157	0.1498171451
32	0.979696665	0.149671936
33	0.9797381347	0.1495523059
34	0.9797687885	0.1492605266
35	0.9797904277	0.1490888547
36	0.9798120678	0.1489660113
37	0.9798499402	0.1488515587
38	0.9798894261	0.1487582511
39	0.9798880087	0.1485794372
40	0.9799150648	0.1484758868
41	0.9799475341	0.1483287414
42	0.9799782016	0.1482313787
43	0.9800034586	0.1480254706
44	0.9800196959	0.1479319806
45	0.9800629981	0.1477821412
46	0.9801044995	0.1476624689
47	0.9801117176	0.147584778
48	0.980129763	0.1474830657
49	0.9801602439	0.1473616957
50	0.9801963385	0.1472709417
51	0.9802089722	0.1471331271
52	0.9802591108	0.1469726941
53	0.9802807708	0.1469031273
54	0.9803094516	0.1467809014
55	0.9803256979	0.1467203426
56	0.9803313146	0.1465536237
57	0.9803601991	0.1464574818
58	0.9803782528	0.1463422714
59	0.9803800582	0.1462727888
60	0.9803947039	0.146162784
61	0.980405537	0.1460949992
62	0.9804235927	0.1460209424
63	0.9804398433	0.1459439952
64	0.9804540855	0.1458148238
65	0.9804721427	0.1457511642
66	0.980497832	0.1456078493
67	0.9805425719	0.1454970447
68	0.9805821	0.1453887518
69	0.9805857123	0.1453311256
70	0.9806091926	0.1452456333
71	0.9806164175	0.1452034976
72	0.9806182237	0.1451604779
73	0.9806435119	0.1450640132
74	0.9806776264	0.1449523668
75	0.9807155631	0.1447957784
76	0.9807354359	0.1447246261
77	0.9807464845	0.1446221701
78	0.9807733771	0.1444346429
79	0.9807860248	0.1443831904
80	0.9807862341	0.1442456283
81	0.9808024962	0.1441348658
82	0.9808008989	0.1440869913
83	0.9808277939	0.14402799
84	0.9808621286	0.1438789785
85	0.980876586	0.143805932
86	0.9808802005	0.1436898376
87	0.9808856222	0.1435878587
88	0.980898273	0.1435262476
89	0.9809235756	0.1434586172
90	0.9809271904	0.1434182072
91	0.9809488796	0.1433534532
92	0.9809741849	0.1431979732
93	0.980986838	0.1431581246
94	0.9810157606	0.1430900731
95	0.9810320304	0.1429986597
96	0.9810480866	0.1429122134
97	0.9810679728	0.142799669
98	0.9811034866	0.1427217115
99	0.9811267746	0.1426283057
100	0.9811394305	0.142593382
101	0.9811430466	0.1425427012
102	0.9811681434	0.1424654313
103	0.9811862246	0.1423973799
104	0.9811916491	0.142346194
105	0.9811952655	0.1422717724
106	0.981215156	0.1422198288
107	0.9812223891	0.1421211472
108	0.981215373	0.1420845258
109	0.9812280312	0.1419928879
110	0.9812280312	0.1419144112
111	0.9812334563	0.1418709004
112	0.9812497318	0.1417876672
113	0.9812675983	0.1417375617
114	0.9812929174	0.1416517749
115	0.9813146204	0.1416034934
116	0.9813342965	0.1415568817
117	0.9813361052	0.1415292122
118	0.9813415313	0.1414951023
119	0.9813469574	0.1414705196
120	0.9813451487	0.1414452634
121	0.9813487661	0.1414044746
122	0.9813541923	0.1413757106
123	0.9813650449	0.1413272889
124	0.9813792953	0.1412919583
125	0.9813919571	0.1412458236
126	0.981393766	0.1411984963
127	0.9813955748	0.1411687922
128	0.9814046192	0.1410804096
129	0.9814367383	0.1409859374
130	0.9814421652	0.1409259539
131	0.9814475921	0.1409029707
132	0.9814423864	0.1408645673
133	0.9814441954	0.1408265848
134	0.9814548282	0.1407532717
135	0.9814602552	0.1406958559
136	0.9814873916	0.1406556144
137	0.9815124977	0.1405643273
138	0.9815197346	0.1405291931
139	0.9815606786	0.1404584056
140	0.9815642972	0.1404335422
141	0.9815661065	0.1403975381
142	0.9815733438	0.1403458471
143	0.9815875948	0.1403147118
144	0.9815948323	0.1402820612
145	0.9816124779	0.1402364317
146	0.9816142873	0.1402009327
147	0.9816197155	0.1401591617
148	0.9816360004	0.1400466173
149	0.9816559048	0.1399625282
150	0.981630572	0.1399232829
151	0.9816414288	0.1398758574
152	0.9816611084	0.1398089425
153	0.9816629179	0.1397482996
154	0.9816647275	0.1397200687
155	0.981666537	0.1397035119
156	0.9816629179	0.1396745515
157	0.9816683465	0.1396183424
158	0.9816773944	0.1395672968
159	0.9816916456	0.1395258767
160	0.9817115516	0.139414104
161	0.9817206001	0.1393406365
162	0.981727839	0.13931075
163	0.9817441269	0.139254583
164	0.9817441269	0.1392278816
165	0.9817640351	0.1391639273
166	0.9817730845	0.1391169929
167	0.9817785142	0.1390943044
168	0.9818000062	0.1390320479
169	0.9818090561	0.1389843558
170	0.9818235364	0.1389291148
171	0.9818235364	0.138904462
172	0.9818325868	0.1388846078
173	0.9818434474	0.1388277112
174	0.9818434474	0.1387860946
175	0.9818470677	0.1387695518
176	0.9818524982	0.1387244134
177	0.9818615491	0.1386837509
178	0.9818651695	0.1386560954
179	0.9818850822	0.138593025
180	0.9818995647	0.1385018361
181	0.9819086165	0.1384376433
182	0.9819212892	0.1384143515
183	0.9819339623	0.1383195145
184	0.9819375833	0.1382966576
185	0.9819502568	0.1382634878
186	0.9819520673	0.1382410378
187	0.9819593095	0.13821146
188	0.9819774154	0.1381370805
189	0.9819828473	0.1381184892
190	0.9819846579	0.138095043
191	0.9819971015	0.1380198497
192	0.9820131663	0.1379358869
193	0.9819968704	0.1378705154
194	0.9820113556	0.1378125805
195	0.9820204091	0.1377657443
196	0.9820276521	0.137748963
197	0.9820511923	0.1376796487
198	0.9820620575	0.137644276
199	0.982069301	0.1376152735
200	0.9820803992	0.1375644945
201	0.9820912651	0.1375407817
202	0.9821111867	0.137419552
203	0.9821148089	0.1374018867
204	0.9821451308	0.1373328391
205	0.9821505643	0.1372797169
206	0.9821523755	0.1372424219
207	0.9821596202	0.1371732339
208	0.9821704876	0.1371070206
209	0.9821886003	0.1370307609
210	0.9821976569	0.1370130956
211	0.982203091	0.1369755902
212	0.9822067137	0.1369282909
213	0.9822103365	0.1368853133
214	0.9822212049	0.1368488602
215	0.9822284507	0.1368289218
216	0.9822284507	0.1367757996
217	0.9822302622	0.1367613755
218	0.9822553874	0.1367052647
219	0.9822644451	0.1366392899
220	0.9822716914	0.1365809761
221	0.9822843727	0.1365549482
222	0.982290044	0.1365043236
223	0.9823009142	0.1364575014
224	0.9823099729	0.1363879907
225	0.9823081612	0.136337759
226	0.9823226554	0.1362769336
227	0.9823299026	0.1362461912
228	0.9823462094	0.136198892
229	0.9823480213	0.1361470186
230	0.9823570808	0.1360954819
231	0.9823697645	0.1360706326
232	0.9823752005	0.1360219864
233	0.9824005691	0.1359554503
234	0.9824023811	0.1359031981
235	0.982415066	0.135854187
236	0.9824241268	0.1357996897
237	0.9824295633	0.1357391591
238	0.982435	0.1357092024
239	0.9824404366	0.1356868507
240	0.9824404366	0.135668568
241	0.9824513102	0.1356292946
242	0.982462184	0.1356108856
243	0.9824639963	0.1355829214
244	0.9824766827	0.1355389335
245	0.9824857446	0.13546722
246	0.9824929943	0.1354487268
247	0.9824929943	0.1354297566
248	0.9825020566	0.1353556718
249	0.982511119	0.1353297
250	0.9824966192	0.1353036861
251	0.9825020566	0.1352681731
252	0.9825219941	0.1352072495
253	0.9825274317	0.1351626724
254	0.982534682	0.1351419623
255	0.982543745	0.135104541
256	0.9825491829	0.1350614792
257	0.9825600588	0.1350391415
258	0.9825654969	0.1350202134
259	0.9825691223	0.134969729
260	0.9825745605	0.1349132674
261	0.982585437	0.1348699811
262	0.9825999394	0.1348134072
263	0.9826071907	0.1347564545
264	0.9826071907	0.1347281816
265	0.9826253196	0.1347046653
266	0.9826325713	0.1346650832
267	0.9826597662	0.134611498
268	0.9826688316	0.1345709197
269	0.982677897	0.1345429976
270	0.982690589	0.1344886266
271	0.9826996549	0.1344570984
272	0.9826996549	0.1344240689
273	0.9827032813	0.1343635944
274	0.9827069077	0.134324756
275	0.9827141606	0.1342661616
276	0.9827141606	0.1342413824
277	0.9827232269	0.134195332
278	0.9827322934	0.1341825495
279	0.9827431734	0.1341393895
280	0.9827594939	0.1340834611
281	0.982768561	0.134032626
282	0.9827882639	0.1339837692
283	0.982802772	0.1339448887
284	0.9828045855	0.1339087022
285	0.9828206617	0.1338797277
286	0.9828224752	0.1338567165
287	0.9828261024	0.1338125603
288	0.9828315432	0.1337590172
289	0.9828424251	0.1337164745
290	0.9828406114	0.133678955
291	0.9828442387	0.1336428808
292	0.9828460524	0.1336226758
293	0.9828533071	0.1336061611
294	0.9828587482	0.1335793895
