iter	Passed	Remaining
0	40	19814
1	82	20402
2	122	20023
3	162	19950
4	204	20067
5	246	20107
6	287	20068
7	332	20227
8	380	20550
9	421	20457
10	471	20750
11	523	21051
12	563	20876
13	610	20989
14	651	20851
15	692	20718
16	737	20730
17	777	20614
18	820	20558
19	865	20547
20	910	20542
21	956	20566
22	998	20488
23	1044	20489
24	1088	20456
25	1133	20450
26	1177	20409
27	1218	20322
28	1259	20231
29	1300	20152
30	1341	20082
31	1379	19965
32	1425	19962
33	1466	19882
34	1509	19843
35	1555	19836
36	1598	19790
37	1641	19746
38	1682	19673
39	1725	19624
40	1766	19556
41	1811	19542
42	1858	19531
43	1901	19491
44	1944	19449
45	1988	19411
46	2031	19366
47	2075	19324
48	2118	19279
49	2168	19295
50	2207	19218
51	2249	19159
52	2288	19088
53	2330	19032
54	2374	18999
55	2421	18984
56	2466	18954
57	2508	18901
58	2551	18852
59	2591	18786
60	2632	18727
61	2675	18685
62	2716	18630
63	2764	18617
64	2806	18568
65	2847	18506
66	2894	18487
67	2939	18457
68	2982	18411
69	3024	18365
70	3066	18314
71	3108	18261
72	3147	18197
73	3195	18180
74	3242	18159
75	3283	18104
76	3332	18091
77	3382	18081
78	3422	18020
79	3466	17983
80	3509	17938
81	3551	17889
82	3593	17837
83	3634	17784
84	3676	17732
85	3717	17680
86	3756	17615
87	3799	17571
88	3841	17525
89	3894	17527
90	3935	17471
91	3976	17420
92	4014	17354
93	4058	17311
94	4100	17266
95	4139	17202
96	4184	17167
97	4225	17117
98	4267	17069
99	4313	17039
100	4356	16994
101	4400	16954
102	4446	16920
103	4490	16883
104	4533	16837
105	4574	16788
106	4616	16740
107	4659	16695
108	4706	16665
109	4750	16626
110	4792	16580
111	4840	16551
112	4883	16508
113	4925	16460
114	4972	16430
115	5018	16397
116	5059	16347
117	5102	16301
118	5142	16249
119	5190	16219
120	5236	16185
121	5279	16140
122	5322	16095
123	5364	16051
124	5413	16023
125	5458	15984
126	5497	15929
127	5541	15887
128	5583	15840
129	5631	15811
130	5683	15791
131	5727	15749
132	5769	15702
133	5811	15655
134	5850	15601
135	5891	15552
136	5938	15519
137	5979	15468
138	6023	15425
139	6071	15394
140	6109	15339
141	6152	15293
142	6191	15241
143	6236	15200
144	6281	15162
145	6331	15134
146	6374	15091
147	6413	15037
148	6457	14994
149	6499	14948
150	6541	14901
151	6581	14851
152	6621	14800
153	6660	14748
154	6703	14704
155	6750	14668
156	6794	14627
157	6843	14596
158	6885	14551
159	6926	14502
160	6971	14463
161	7019	14428
162	7055	14370
163	7095	14321
164	7140	14280
165	7184	14239
166	7228	14198
167	7271	14153
168	7314	14108
169	7355	14062
170	7411	14043
171	7467	14022
172	7511	13981
173	7554	13936
174	7593	13885
175	7639	13847
176	7682	13801
177	7729	13765
178	7775	13726
179	7820	13685
180	7865	13644
181	7906	13596
182	7947	13550
183	7987	13499
184	8027	13452
185	8064	13396
186	8109	13356
187	8152	13312
188	8194	13266
189	8234	13219
190	8279	13177
191	8319	13128
192	8361	13083
193	8402	13036
194	8440	12985
195	8484	12942
196	8525	12896
197	8568	12852
198	8611	12808
199	8654	12765
200	8695	12718
201	8743	12682
202	8787	12639
203	8828	12592
204	8873	12552
205	8912	12502
206	8954	12458
207	8997	12415
208	9040	12370
209	9079	12322
210	9120	12275
211	9161	12229
212	9210	12193
213	9249	12145
214	9300	12112
215	9340	12065
216	9379	12015
217	9426	11977
218	9470	11935
219	9515	11893
220	9554	11845
221	9595	11799
222	9637	11755
223	9679	11709
224	9718	11661
225	9756	11612
226	9795	11565
227	9835	11518
228	9876	11472
229	9921	11431
230	9966	11390
231	10006	11343
232	10054	11306
233	10101	11267
234	10145	11224
235	10189	11183
236	10239	11146
237	10277	11098
238	10323	11057
239	10364	11011
240	10410	10971
241	10449	10924
242	10491	10879
243	10535	10837
244	10583	10799
245	10630	10760
246	10671	10715
247	10719	10675
248	10761	10631
249	10804	10588
250	10847	10545
251	10890	10501
252	10931	10456
253	10973	10411
254	11018	10370
255	11059	10325
256	11099	10278
257	11141	10234
258	11180	10187
259	11225	10146
260	11264	10098
261	11305	10054
262	11355	10017
263	11395	9971
264	11436	9926
265	11479	9882
266	11529	9845
267	11580	9809
268	11624	9766
269	11667	9722
270	11706	9676
271	11748	9632
272	11788	9585
273	11828	9540
274	11881	9504
275	11924	9462
276	11973	9423
277	12019	9381
278	12067	9342
279	12114	9302
280	12159	9260
281	12200	9215
282	12247	9174
283	12287	9129
284	12331	9086
285	12375	9043
286	12429	9007
287	12477	8968
288	12530	8931
289	12574	8888
290	12618	8845
291	12669	8807
292	12721	8770
293	12766	8728
294	12808	8683
295	12851	8640
296	12904	8602
297	12949	8560
298	12993	8517
299	13035	8473
300	13083	8432
301	13130	8391
302	13181	8352
303	13222	8307
304	13264	8263
305	13307	8219
306	13351	8176
307	13398	8134
308	13444	8092
309	13488	8049
310	13527	8003
311	13570	7959
312	13614	7916
313	13659	7873
314	13703	7830
315	13738	7782
316	13778	7737
317	13820	7692
318	13858	7645
319	13899	7601
320	13941	7557
321	13985	7514
322	14025	7468
323	14070	7425
324	14116	7383
325	14154	7337
326	14193	7292
327	14234	7247
328	14279	7204
329	14328	7164
330	14368	7119
331	14419	7079
332	14465	7037
333	14505	6992
334	14546	6947
335	14589	6903
336	14634	6861
337	14676	6817
338	14717	6772
339	14758	6728
340	14799	6683
341	14840	6639
342	14892	6599
343	14933	6555
344	14976	6511
345	15029	6472
346	15071	6428
347	15111	6383
348	15157	6340
349	15196	6295
350	15240	6252
351	15278	6207
352	15320	6162
353	15369	6121
354	15409	6077
355	15456	6035
356	15500	5991
357	15547	5949
358	15591	5906
359	15630	5861
360	15679	5820
361	15723	5776
362	15767	5733
363	15809	5689
364	15851	5645
365	15894	5602
366	15944	5561
367	15991	5518
368	16029	5473
369	16072	5429
370	16115	5386
371	16154	5341
372	16194	5296
373	16237	5253
374	16280	5209
375	16326	5167
376	16370	5123
377	16417	5081
378	16462	5038
379	16503	4994
380	16543	4950
381	16586	4906
382	16628	4862
383	16676	4820
384	16718	4776
385	16760	4732
386	16802	4689
387	16845	4645
388	16892	4603
389	16934	4559
390	16977	4515
391	17016	4471
392	17060	4427
393	17108	4385
394	17153	4342
395	17199	4299
396	17249	4258
397	17295	4215
398	17340	4172
399	17383	4128
400	17424	4084
401	17463	4040
402	17506	3996
403	17553	3953
404	17596	3910
405	17639	3866
406	17680	3822
407	17724	3779
408	17764	3735
409	17807	3691
410	17853	3648
411	17901	3606
412	17945	3563
413	17992	3520
414	18033	3476
415	18073	3432
416	18121	3389
417	18161	3345
418	18202	3301
419	18246	3258
420	18285	3214
421	18329	3170
422	18377	3128
423	18418	3084
424	18460	3040
425	18505	2997
426	18554	2954
427	18599	2911
428	18646	2868
429	18684	2824
430	18728	2780
431	18769	2737
432	18804	2692
433	18854	2650
434	18898	2606
435	18942	2563
436	18982	2519
437	19023	2475
438	19063	2431
439	19101	2387
440	19148	2344
441	19189	2301
442	19231	2257
443	19275	2214
444	19318	2170
445	19366	2127
